Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-09-18,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-09-19,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-09-20,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-09-21,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-09-25,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-09-26,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-09-27,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-09-28,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-08,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-09,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-10,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-11,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-12,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-15,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-16,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-17,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-18,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-19,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-22,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-23,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-24,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-25,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-26,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-29,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-30,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-10-31,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-11-01,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-11-02,5.820000,5.820000,5.820000,5.820000,5.820000,0
2018-11-05,5.820000,5.820000,5.820000,5.820000,5.820000,0
